12-08-23 10:02[root]INFO | Training on cart environment for 1500 episodes
12-08-23 10:02[root]INFO | Agent Type: dgt
12-08-23 10:02[root]INFO | Log Directory: cart_cpu/dgt/aaai_15n_16x16c_rand/
12-08-23 10:02[root]INFO | Random Weight Initialization: True
12-08-23 10:02[root]INFO | Training Started: 2023-08-12 10:02:22
12-08-23 10:02[root]INFO | Using Cart Pole Environment
12-08-23 10:02[root]INFO | Hyperparameters: {"n_steps": 542, "batch_size": 43, "gamma": 0.99, "gae_lambda": 0.934, "clip_range": 0.174, "vf_coef": 0.4, "ent_coef": 0.02, "learning_rate": 0.0042, "max_grad_norm": 0.53, "n_epochs": 7}
12-08-23 10:02[root]INFO | ===================> Training with seed 104 <=================
12-08-23 10:02[root]INFO | Episode: 0, Avg Reward: 15.0, Best Eval: 9.033333333333333
12-08-23 10:02[root]INFO | Episode: 50, Avg Reward: 21.45098039215686, Best Eval: 79.03333333333333
12-08-23 10:02[root]INFO | Episode: 100, Avg Reward: 35.55, Best Eval: 405.6
12-08-23 10:03[root]INFO | Episode: 150, Avg Reward: 201.07, Best Eval: 500.0
12-08-23 10:04[root]INFO | Episode: 200, Avg Reward: 345.55, Best Eval: 500.0
12-08-23 10:05[root]INFO | Episode: 250, Avg Reward: 284.75, Best Eval: 500.0
12-08-23 10:05[root]INFO | Episode: 300, Avg Reward: 248.27, Best Eval: 500.0
12-08-23 10:06[root]INFO | Episode: 350, Avg Reward: 283.13, Best Eval: 500.0
12-08-23 10:06[root]INFO | Episode: 400, Avg Reward: 355.75, Best Eval: 500.0
12-08-23 10:07[root]INFO | Episode: 450, Avg Reward: 384.37, Best Eval: 500.0
12-08-23 10:08[root]INFO | Episode: 500, Avg Reward: 346.99, Best Eval: 500.0
12-08-23 10:09[root]INFO | Episode: 550, Avg Reward: 337.97, Best Eval: 500.0
12-08-23 10:10[root]INFO | Episode: 600, Avg Reward: 334.07, Best Eval: 500.0
12-08-23 10:10[root]INFO | Episode: 650, Avg Reward: 309.36, Best Eval: 500.0
12-08-23 10:11[root]INFO | Episode: 700, Avg Reward: 373.71, Best Eval: 500.0
12-08-23 10:12[root]INFO | Episode: 750, Avg Reward: 395.89, Best Eval: 500.0
12-08-23 10:13[root]INFO | Episode: 800, Avg Reward: 311.71, Best Eval: 500.0
12-08-23 10:14[root]INFO | Episode: 850, Avg Reward: 326.24, Best Eval: 500.0
12-08-23 10:15[root]INFO | Episode: 900, Avg Reward: 401.62, Best Eval: 500.0
12-08-23 10:16[root]INFO | Episode: 950, Avg Reward: 445.97, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 1000, Avg Reward: 467.0, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 1050, Avg Reward: 403.22, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 1100, Avg Reward: 212.35, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 1150, Avg Reward: 112.48, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 1200, Avg Reward: 122.66, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 1250, Avg Reward: 112.65, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 1300, Avg Reward: 96.87, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 1350, Avg Reward: 102.44, Best Eval: 500.0
12-08-23 10:19[root]INFO | Episode: 1400, Avg Reward: 110.4, Best Eval: 500.0
12-08-23 10:19[root]INFO | Episode: 1450, Avg Reward: 116.43, Best Eval: 500.0
12-08-23 10:19[root]INFO | ==============> Test reward for seeds [500, 600]: 500.00 +/- 0.0 <==========
12-08-23 10:19[root]INFO | Execution time of seed 104: 0 hours, 17 minutes, 30 seconds
