12-08-23 10:13[root]INFO | Training on cart environment for 1500 episodes
12-08-23 10:13[root]INFO | Agent Type: fcnn
12-08-23 10:13[root]INFO | Log Directory: cart_cpu/fcnn/aaai_16x16a_16x16c_rand/
12-08-23 10:13[root]INFO | Random Weight Initialization: True
12-08-23 10:13[root]INFO | Training Started: 2023-08-12 10:13:55
12-08-23 10:13[root]INFO | Using Cart Pole Environment
12-08-23 10:13[root]INFO | Hyperparameters: {"learning_rate": 0.015, "gamma": 0.99, "batch_size": 32, "n_steps": 512, "ent_coef": 0.008, "clip_range": 0.2, "vf_coef": 0.5, "max_grad_norm": 0.5, "gae_lambda": 0.92, "n_epochs": 12}
12-08-23 10:13[root]INFO | ===================> Training with seed 112 <=================
12-08-23 10:13[root]INFO | Agent: FCNN
12-08-23 10:13[root]INFO | Creating FCNN Action Net with arch:
12-08-23 10:13[root]INFO | Using cartpole architecture 16x16
12-08-23 10:13[root]INFO | Creating FCNN Value Net with arch:
12-08-23 10:13[root]INFO | Using cartpole architecture 16x16
12-08-23 10:13[root]INFO | Episode: 0, Avg Reward: 12.0, Best Eval: 9.933333333333334
12-08-23 10:14[root]INFO | Episode: 50, Avg Reward: 32.509803921568626, Best Eval: 162.9
12-08-23 10:14[root]INFO | Episode: 100, Avg Reward: 71.07, Best Eval: 183.73333333333332
12-08-23 10:14[root]INFO | Episode: 150, Avg Reward: 182.39, Best Eval: 496.3333333333333
12-08-23 10:15[root]INFO | Episode: 200, Avg Reward: 336.64, Best Eval: 500.0
12-08-23 10:16[root]INFO | Episode: 250, Avg Reward: 408.17, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 300, Avg Reward: 449.31, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 350, Avg Reward: 343.49, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 400, Avg Reward: 322.53, Best Eval: 500.0
12-08-23 10:19[root]INFO | Episode: 450, Avg Reward: 437.12, Best Eval: 500.0
12-08-23 10:19[root]INFO | Episode: 500, Avg Reward: 384.95, Best Eval: 500.0
12-08-23 10:20[root]INFO | Episode: 550, Avg Reward: 304.32, Best Eval: 500.0
12-08-23 10:20[root]INFO | Episode: 600, Avg Reward: 249.74, Best Eval: 500.0
12-08-23 10:21[root]INFO | Episode: 650, Avg Reward: 290.44, Best Eval: 500.0
12-08-23 10:22[root]INFO | Episode: 700, Avg Reward: 413.67, Best Eval: 500.0
12-08-23 10:22[root]INFO | Episode: 750, Avg Reward: 436.74, Best Eval: 500.0
12-08-23 10:23[root]INFO | Episode: 800, Avg Reward: 422.9, Best Eval: 500.0
12-08-23 10:24[root]INFO | Episode: 850, Avg Reward: 458.08, Best Eval: 500.0
12-08-23 10:25[root]INFO | Episode: 900, Avg Reward: 474.29, Best Eval: 500.0
12-08-23 10:26[root]INFO | Episode: 950, Avg Reward: 453.7, Best Eval: 500.0
12-08-23 10:26[root]INFO | Episode: 1000, Avg Reward: 453.64, Best Eval: 500.0
12-08-23 10:27[root]INFO | Episode: 1050, Avg Reward: 463.28, Best Eval: 500.0
12-08-23 10:28[root]INFO | Episode: 1100, Avg Reward: 426.4, Best Eval: 500.0
12-08-23 10:29[root]INFO | Episode: 1150, Avg Reward: 432.75, Best Eval: 500.0
12-08-23 10:29[root]INFO | Episode: 1200, Avg Reward: 387.12, Best Eval: 500.0
12-08-23 10:29[root]INFO | Episode: 1250, Avg Reward: 170.79, Best Eval: 500.0
12-08-23 10:30[root]INFO | Episode: 1300, Avg Reward: 85.36, Best Eval: 500.0
12-08-23 10:30[root]INFO | Episode: 1350, Avg Reward: 309.19, Best Eval: 500.0
12-08-23 10:31[root]INFO | Episode: 1400, Avg Reward: 462.22, Best Eval: 500.0
12-08-23 10:32[root]INFO | Episode: 1450, Avg Reward: 458.9, Best Eval: 500.0
12-08-23 10:32[root]INFO | Agent: FCNN
12-08-23 10:32[root]INFO | Creating FCNN Action Net with arch:
12-08-23 10:32[root]INFO | Using cartpole architecture 16x16
12-08-23 10:32[root]INFO | Creating FCNN Value Net with arch:
12-08-23 10:32[root]INFO | Using cartpole architecture 16x16
12-08-23 10:33[root]INFO | ==============> Test reward for seeds [500, 600]: 500.00 +/- 0.0 <==========
12-08-23 10:33[root]INFO | Execution time of seed 112: 0 hours, 19 minutes, 16 seconds
