#{"t_start": 1704427591.322141, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-177.843234,124,0.118323
-111.910634,187,0.196153
-80.941212,72,0.216948
-112.644509,89,0.245932
-81.471357,98,0.276886
-396.58671,115,0.312923
-204.99202,70,0.333566
-89.979458,99,0.364952
-222.004718,96,0.395795
-317.411952,86,0.422505
-396.542946,86,0.450126
-406.773107,128,0.492144
-408.206861,124,0.525597
-298.631765,96,0.551039
-601.010058,108,0.98365
-352.927447,148,1.027983
-213.318519,139,1.066605
-330.614202,90,1.089765
-225.46374,90,1.112045
-317.544126,112,1.140229
-261.129539,172,1.194486
-122.564222,67,1.210984
-370.843968,90,1.235394
-174.639132,128,1.268936
-232.083645,143,1.309403
-343.771323,95,1.334263
-36.073197,98,1.359796
-605.493007,117,2.173317
-115.400926,169,2.225286
-120.068551,142,2.265156
-146.446254,122,2.29869
-300.136843,76,2.317825
-229.220623,117,2.348914
-174.405894,93,2.372663
-222.880565,89,2.395398
-130.105812,123,2.428435
-21.818191,87,2.453633
-110.152453,87,2.481857
-89.752693,90,2.509164
-336.660332,86,2.534927
-114.323842,112,2.569075
-336.406117,105,3.250547
-348.90549,98,3.276171
-273.226606,97,3.301182
-145.369259,167,3.352219
-289.977039,104,3.380889
-357.1822,79,3.40021
-202.011144,93,3.423664
-160.442155,91,3.446523
-201.004974,97,3.472275
-187.730456,126,3.509276
-362.488974,91,3.532363
-317.965411,109,3.559246
-363.670046,99,3.586553
-46.453157,79,3.606705
-372.299194,105,3.635109
-314.437575,546,4.632223
-154.583076,103,4.659848
-72.200586,87,4.681417
-8.741812,92,4.705518
-343.106507,122,4.738289
-230.50478,113,4.769818
-89.746745,105,4.797055
-243.833385,108,4.825655
-277.698162,106,4.853417
-42.152437,150,5.656562
-245.89626,107,5.684526
-15.544468,105,5.713782
-35.611285,98,5.740284
-182.4148,73,5.759081
-83.841626,93,5.783477
-376.100586,80,5.804139
-311.187786,73,5.822307
-22.844791,85,5.843917
-272.515319,103,5.870539
-357.579604,96,5.895405
-254.659098,145,5.937547
-58.472185,77,5.957066
-122.169115,123,5.991545
-74.640164,84,6.013023
-214.359991,105,6.040575
-123.471833,90,6.466426
-59.292994,79,6.487528
48.284315,1000,10.438809
-255.936232,216,12.931226
-343.793208,215,19.077183
-49.008187,198,21.358423
-110.008935,252,24.163618
-107.777769,392,28.651226
-144.13668,420,33.446375
250.398598,337,40.54849
23.744204,197,42.700237
-2.960503,108,43.854324
93.370265,1000,56.579775
5.646753,160,59.398952
21.342115,130,60.819534
14.522318,137,62.325207
217.905568,446,67.44021
47.094538,153,69.069075
14.571407,142,70.58159
43.455312,134,72.125004
239.426464,686,83.145199
262.03081,184,85.161705
263.159214,236,87.773869
-186.531902,500,93.456622
224.596375,284,98.861652
195.176493,408,103.649001
257.527805,342,107.521947
235.890301,221,109.931048
253.739807,237,112.506972
238.077847,328,120.625756
185.827693,391,124.995316
189.593615,329,128.731571
275.364896,291,132.008384
265.248609,336,139.313842
-464.487486,228,141.794798
263.030165,228,144.276372
234.64195,574,150.824602
26.221549,118,152.119601
280.195714,242,154.786443
136.030915,596,165.161264
250.792414,285,168.260823
287.420877,272,171.259424
252.896517,822,182.865844
233.109538,284,186.020585
-55.609149,308,189.59435
294.119787,270,192.511371
251.901425,195,194.636393
269.480551,222,199.184449
41.83404,167,201.016297
11.07573,116,202.284822
-16.045828,179,204.242966
268.045902,200,206.421674
295.198558,400,210.906875
-2.374892,114,212.128342
261.17796,210,216.335926
275.092058,153,217.988406
254.333004,225,220.473106
17.492554,107,221.638386
19.435968,114,222.883403
24.610291,145,224.462103
28.44399,178,226.401711
72.805045,106,227.552468
-375.487239,562,234.791938
27.690572,124,236.146586
50.557367,143,237.700999
277.675904,193,239.781025
28.798656,133,241.194975
18.712726,1000,254.75763
268.411885,242,257.464074
271.474521,173,259.361748
247.24966,233,261.917711
281.110594,177,263.862692
27.931769,160,265.605397
31.855813,145,267.173556
36.970356,179,270.358087
268.846912,260,273.252239
14.047564,161,274.980318
