#{"t_start": 1704388266.2644997, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-177.843234,124,0.149779
-111.910634,187,0.24615
-80.941212,72,0.273045
-112.644509,89,0.304654
-81.471357,98,0.335765
-396.58671,115,0.371895
-204.99202,70,0.392488
-89.979458,99,0.423963
-222.004718,96,0.454873
-317.411952,86,0.481599
-396.542946,86,0.509418
-406.773107,128,0.552651
-408.206861,124,0.592784
-298.631765,96,0.623281
-601.010058,108,1.137911
-352.927447,148,1.191006
-213.318519,139,1.23732
-330.614202,90,1.265137
-225.46374,90,1.291902
-317.544126,112,1.32579
-261.129539,172,1.390832
-122.564222,67,1.410716
-370.843968,90,1.440006
-174.639132,128,1.480254
-232.083645,143,1.528892
-343.771323,95,1.558768
-36.073197,98,1.589429
-605.493007,117,2.567239
-115.400926,169,2.629152
-120.068551,142,2.676554
-146.446254,122,2.716349
-300.136843,76,2.739147
-229.220623,117,2.77623
-174.405894,93,2.804634
-222.880565,89,2.83173
-130.105812,123,2.871179
-21.818191,87,2.899839
-110.152453,87,2.927982
-89.752693,90,2.955145
-336.660332,86,2.982068
-114.323842,112,3.018934
-336.406117,105,3.794395
-348.90549,98,3.824925
-273.226606,97,3.854649
-145.369259,167,3.915573
-289.977039,104,3.949696
-357.1822,79,3.972677
-202.011144,93,4.000564
-160.442155,91,4.027831
-201.004974,97,4.058548
-187.730456,126,4.103789
-362.488974,91,4.131286
-317.965411,109,4.163282
-363.670046,99,4.195784
-46.453157,79,4.219759
-372.299194,105,4.253757
-314.437575,546,5.447727
-154.583076,103,5.480736
-72.200586,87,5.506609
-8.741812,92,5.535459
-343.106507,122,5.574752
-230.50478,113,5.612475
-89.746745,105,5.645101
-243.833385,108,5.67923
-277.698162,106,5.711635
-42.152437,150,6.634985
-245.89626,107,6.668576
-15.544468,105,6.703585
-35.611285,98,6.735343
-182.4148,73,6.757931
-83.841626,93,6.787174
-376.100586,80,6.811876
-311.187786,73,6.833616
-22.844791,85,6.859491
-272.515319,103,6.89142
-357.579604,96,6.921136
