Episode,Weights
0,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
10,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
20,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
30,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
40,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
50,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
60,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
70,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
80,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
90,"[-0.13220352  0.22501189 -0.35296866 -0.29412562  0.17120828 -0.06018337
 -0.20234758  0.3363596   0.40529677 -0.0492094   0.10050137 -0.31441808
 -0.33205336 -0.23405536  0.39445603  0.25538382]"
100,"[-0.00514366  0.32354647 -0.46650407 -0.5816395   0.17120828 -0.06018337
  0.1001087   0.07965764  0.18813993  0.15432921  0.10050137  0.1210883
 -0.3468531  -0.04948435  0.42554095  0.37741706]"
110,"[ 0.7884843   0.2338906  -0.47751358 -1.4380872   0.17120828 -0.06018337
  0.3092815   0.06539513  0.2004139   0.20343824  0.10050137  0.23513156
 -0.3468531  -0.04948435  0.42554194  0.37756088]"
120,"[ 0.8634359   0.3893239  -0.8082281  -1.4372694   0.17120828 -0.06018337
 -0.0826498   0.06539513  0.2004139   0.20343824  0.10050137  0.3795462
 -0.3468531  -0.04948435  0.42554194  0.37756088]"
130,"[ 0.6084303   0.6558758  -0.9963571  -0.98448175  0.17120828 -0.06018337
 -0.25194407 -0.01417993  0.2004139   0.20343824  0.10050137  0.21625398
 -0.3468531  -0.04948435  0.42554194  0.37756088]"
140,"[ 0.9777434   0.05391863 -0.944595   -0.77874035  0.17120828 -0.06018337
 -0.19613913 -0.02531849  0.2004139   0.20343824  0.10050137 -0.06187392
 -0.3468531  -0.04948435  0.42554194  0.37756088]"
