Episode,Weights
0,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
10,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
20,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
30,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
40,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
50,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
60,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
70,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
80,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
90,"[-0.41876075  0.3171933   0.07998782 -0.28368503  0.05737643 -0.16939263
 -0.29763526 -0.18764697  0.38824704 -0.11802891  0.09859797 -0.2459992
  0.3643918  -0.32084912 -0.38028044  0.05010829]"
100,"[-0.7991338   0.29359064  0.10264967 -0.4802638   0.05737643 -0.16939263
 -0.5823072  -0.40102008  0.14811628  0.09276318  0.09859797 -0.04996327
  0.34564376 -0.15927468 -0.36279166  0.06239852]"
110,"[-0.6892715   0.26188216 -0.08334496 -1.5936782   0.05737643 -0.16939263
 -0.481333   -0.42817682  0.1558932   0.11636665  0.09859797 -0.08206686
  0.34564376 -0.15927468 -0.36279103  0.06255265]"
120,"[-1.1209536   0.18108511 -0.00197211 -1.4734627   0.05737643 -0.16939263
  0.72012323 -0.42817682  0.1558932   0.11636665  0.09859797 -0.07697973
  0.34564376 -0.15927468 -0.36279103  0.06255265]"
130,"[-1.3162249  -0.4734469   0.6221139  -1.238066    0.05737643 -0.16939263
  0.57608896 -0.49257424  0.1558932   0.11636665  0.09859797  0.0066658
  0.34564376 -0.15927468 -0.36279103  0.06255265]"
140,"[-1.5984781  -0.33230868  0.6168204  -1.2189068   0.05737643 -0.16939263
  0.78894234 -0.47188413  0.1558932   0.11636665  0.09859797  0.03472026
  0.34564376 -0.15927468 -0.36279103  0.06255265]"
