#{"t_start": 1727876505.415786, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-292.987537,93,0.085252
-56.966807,126,0.123376
-127.347766,83,0.147452
-133.205131,97,0.176194
-270.836109,101,0.203166
-115.877181,70,0.221581
-104.660465,66,0.239051
-209.670941,135,0.281568
-419.421133,124,0.319103
-67.597756,81,0.34275
-435.046485,88,0.366931
-170.28916,165,0.419667
-64.822415,81,0.441432
-68.195016,113,0.474652
-233.41519,88,0.805121
-111.517253,117,0.839387
-352.056753,92,0.864104
-72.931638,85,0.887673
-75.367586,63,0.903805
-433.180984,108,0.934328
-193.043355,158,0.990458
-266.918393,119,1.024985
-213.107027,161,1.076943
-88.17913,78,1.096819
-202.500782,119,1.131797
-284.941919,90,1.157208
-289.263206,106,1.185169
-322.092072,99,1.213144
-143.779574,84,1.235879
-16.951913,78,1.640967
-121.561827,90,1.664455
-75.727771,173,1.725407
-312.493111,96,1.751989
-31.207259,74,1.771307
-147.404348,114,1.803585
-385.47832,100,1.830165
-178.971386,141,1.871437
-479.082293,88,1.895277
-204.124982,155,1.943248
-81.213705,84,1.96654
-393.899421,134,2.008961
-82.605854,135,2.050823
-206.464116,85,2.353056
-148.994911,131,2.390505
-144.828537,84,2.412333
3.766931,88,2.437574
-126.212563,70,2.456098
-91.261354,89,2.48108
-110.41893,69,2.498206
-377.031946,105,2.527932
-321.860424,112,2.579665
-119.557632,150,2.62715
-113.623501,96,2.653834
-400.882107,109,2.684915
-96.734383,89,2.709633
-326.910564,100,2.737804
-386.47546,111,2.769286
-135.575967,136,3.101005
-240.331286,128,3.137617
-271.466683,97,3.162604
-182.66074,147,3.20947
-203.226495,82,3.232601
-275.395036,92,3.258974
-331.318036,93,3.284894
-447.258566,127,3.321599
-194.536787,109,3.353007
-93.465841,79,3.373806
-331.537937,93,3.398207
-322.256894,137,3.438116
-366.911498,92,3.46427
-92.800325,150,3.842355
-86.287946,98,3.869111
-294.661967,161,3.920826
-52.522849,72,3.939422
-85.625073,81,3.961274
-305.843495,101,3.988939
-247.301922,103,4.017735
-144.568698,79,4.039043
-205.514585,146,4.083951
-423.350339,117,4.11815
-95.62139,74,4.136642
-88.141031,88,4.161206
-63.426076,112,4.194157
-105.088418,84,4.216207
-156.501633,89,4.239163
-341.517889,92,4.263688
-87.245326,88,4.555698
-125.509416,87,4.579532
-79.676437,82,4.601341
-128.706519,108,4.633101
-185.55084,72,4.651415
-221.476273,116,4.685095
-129.401254,68,4.702849
-337.109745,128,4.739158
-190.206392,123,4.776088
-30.283946,90,4.799778
-33.148596,125,5.544039
-79.847266,102,6.390968
-0.141693,129,7.459795
-25.245985,105,8.323034
14.838143,200,22.750648
-217.328206,185,24.381846
-72.34519,324,27.353656
-266.908554,230,29.474492
-168.442669,125,30.607455
-267.285336,214,32.559284
-16.909032,207,34.395687
-113.172371,407,43.00473
-155.290891,533,48.003078
-136.549052,476,52.492777
-44.471209,465,71.490326
10.794906,1000,81.160327
163.002901,543,88.21374
-13.600144,288,90.802006
177.864019,404,94.577334
-9.784047,305,97.277007
226.910575,486,103.710375
11.787762,216,105.58015
15.630877,176,107.080955
5.403897,212,108.926889
-184.363584,214,110.770833
245.955287,288,113.294628
240.169926,294,117.408206
208.01389,333,120.425799
-17.561685,245,122.557798
25.77938,221,124.584206
-271.037204,838,136.817197
152.161546,874,146.584781
14.316793,210,149.385325
52.746792,1000,166.243484
235.272613,746,176.683222
225.767644,415,180.628077
135.19228,1000,196.729031
220.915786,447,200.950738
121.112756,1000,214.256529
188.007343,517,219.3146
94.976966,1000,232.993675
163.711018,1000,242.545891
235.727806,354,245.774315
245.729775,314,256.396192
223.495916,320,259.435718
-21.601026,243,261.906135
101.950997,1000,276.76528
206.765261,344,280.029255
218.58471,293,282.7312
-97.753985,495,287.546406
-123.550234,419,295.743936
60.570913,191,297.422058
