#{"t_start": 1713597640.7966743, "env_id": "BipedalWalker-v3"}
r,l,t
-83.352451,1600,1.274049
-100.259652,73,1.306554
-116.700649,78,1.339535
-92.186772,1600,2.405175
-101.890562,100,2.446349
-101.011971,1600,3.507882
-78.576327,1600,4.56956
-113.689507,57,4.59422
-113.503877,67,4.6219
-108.296578,48,4.643326
-112.743739,48,4.664986
-117.652578,71,4.69461
-99.491715,126,4.746743
-100.772134,74,4.777543
-101.106839,53,4.800808
-100.597213,79,4.834419
-102.152501,85,4.868899
-123.593901,120,4.918385
-121.438777,107,5.396385
-89.43426,1600,6.559146
-100.063141,75,6.604489
-84.359944,1600,55.85928
-106.706104,61,58.359399
-116.038981,151,64.560473
-108.704675,98,68.596912
-91.490422,1600,148.680661
-127.465368,119,154.103412
-104.356232,69,157.259106
-99.96962,1600,237.101039
-145.426436,1600,334.286881
-124.821382,1600,432.204422
-143.496739,711,472.128795
-96.975455,1600,564.44042
-102.296014,1600,661.771619
-112.096809,75,665.770773
-115.207275,46,668.17522
-91.536551,1600,763.435252
-89.45688,1600,855.000918
-73.54436,1600,945.911547
-81.094087,1600,1036.203987
-121.894083,98,1041.545713
-114.350922,61,1044.906452
-80.776482,1600,1123.268569
-82.7098,1600,1207.826598
-107.012152,1600,1285.122996
-71.373146,1600,1371.593915
-56.911073,1600,1460.655102
-79.105888,1600,1549.347276
-113.129766,93,1552.07425
-70.249748,1600,1645.154464
-61.296757,1600,1735.431998
-116.803449,202,1744.134588
-102.1042,82,1747.435361
-83.658311,1600,1824.239037
-68.668331,1600,1921.095217
-77.297123,1600,2011.351079
-63.120241,1600,2109.782582
-120.853292,51,2112.520539
-93.779212,1600,2213.651924
-68.282807,1600,2291.374309
-120.359105,416,2311.798841
-92.537393,1600,2402.43853
-134.451084,777,2438.138916
-109.367063,368,2474.193751
-103.619845,126,2480.864229
-70.61408,1600,2571.883358
-109.588815,107,2577.606893
-75.305199,1600,2677.626267
-54.87524,1600,2771.502446
-104.027962,64,2772.914634
-48.278065,1600,2857.554864
-56.041069,1600,2951.606558
-99.814305,117,2958.371262
-102.049457,103,2964.059291
-113.579463,405,2983.634636
-102.331802,151,2990.452456
-98.961017,168,2999.994084
-113.66723,270,3013.438803
-105.46823,242,3023.677108
-95.717408,1600,3109.973491
-114.324414,1600,3207.571992
-91.879909,1600,3307.236749
-87.776351,1600,3396.726301
-113.820529,1600,3502.265354
-72.616011,1600,3593.773222
-57.027329,1600,3687.002893
-149.016584,1216,3756.402521
-56.565744,1600,3841.545709
-100.55369,1600,3929.704557
-107.621407,1600,4008.00859
-98.902668,1600,4087.282876
-70.671748,1600,4168.955167
-48.907067,1600,4243.883383
-59.638381,1600,4329.824098
-43.959352,1600,4419.81666
-135.035922,1028,4485.090594
-97.688178,200,4495.217406
-40.156444,1600,4577.451673
-67.379166,1600,4668.22631
-64.918933,1600,4751.453286
-63.681973,1600,4850.37087
-45.008166,1600,4937.768657
-99.955349,213,4947.39775
-68.109028,1600,5029.627566
-53.403771,1600,5127.253903
-56.42183,1600,5233.060033
-53.389116,1600,5326.50145
-54.826508,1600,5421.819447
-54.035074,1600,5520.255174
-49.879001,1600,5612.869492
-42.596615,1600,5702.047678
-37.436167,1600,5791.081646
-37.077008,1600,5864.852022
-41.777201,1600,5943.810548
-35.408518,1600,6022.597255
-39.077362,1600,6104.663724
-39.705792,1600,6180.43744
-46.47875,1600,6253.802166
-103.109222,123,6258.47054
-101.26032,107,6262.52697
-50.310725,1600,6361.950818
-47.792906,1600,6449.513324
-46.165055,1600,6534.692663
-35.432465,1600,6615.869494
-35.012514,1600,6711.649871
-41.433975,1600,6804.748307
-48.488838,1600,6893.480028
