#{"t_start": 1707345216.2341793, "env_id": "BipedalWalker-v3"}
r,l,t
-81.480078,1600,3.156825
-80.127907,1600,4.18385
-101.363673,58,4.205222
-75.667924,1600,5.186117
-111.10766,47,5.203531
-95.101843,1600,6.262127
-120.644025,109,6.300245
-109.899182,65,6.324086
-125.17957,109,6.361736
-98.048739,80,6.390639
-103.947827,86,6.42627
-84.679819,1600,7.429746
-114.377049,55,7.449469
-83.430988,1600,10.986674
-100.369529,61,11.729284
-107.780076,53,12.464933
-101.72808,99,13.241585
-101.510758,105,15.209462
-112.705056,56,15.954886
-101.860305,105,16.729091
-113.911178,63,17.463211
-109.169129,92,18.891183
-118.06074,95,19.637939
-110.728727,58,20.350501
-100.574982,81,21.746724
-113.914046,110,22.50824
-99.979588,69,23.233502
-111.610816,52,23.944192
-138.327632,457,28.975285
-109.875325,60,29.691788
-140.023474,549,37.621728
-77.306604,1600,60.496925
-119.872496,68,61.22298
-207.180281,1538,78.973175
-126.331547,74,79.705055
-122.270178,85,80.444809
-114.842694,61,81.164123
-124.044766,73,82.557631
-119.171448,126,83.33412
-128.756157,84,84.739835
-121.961357,132,86.18082
-116.700842,105,86.939235
-125.611324,108,88.36012
-165.737674,495,94.737939
-113.702554,237,97.603931
-124.303199,199,99.777588
-94.034517,1600,123.845123
-148.841624,424,128.210009
-115.270602,1600,152.021512
-96.094233,1600,177.510895
-107.47724,121,178.959228
-115.672287,91,180.379619
-110.97459,84,181.122669
-107.927564,56,181.84268
-105.925772,61,182.567193
-107.025397,53,183.284902
-105.890424,60,184.010054
-85.753773,1600,206.174822
-86.774418,1600,227.061255
-146.537825,296,229.999461
-123.651912,1600,254.183498
-75.057191,1600,277.666836
-68.6203,1600,302.775008
-90.307875,1600,331.251834
-98.597738,1600,356.225081
-122.40423,257,359.130871
-119.287341,62,359.859338
-124.847331,187,362.033628
-109.089439,1600,386.974988
-98.305301,1600,412.164304
-93.450859,1600,437.339149
-76.773707,1600,462.533348
-58.434499,1600,487.127542
-49.460618,1600,511.557307
-114.382599,1600,535.9465
-124.305887,1600,560.659955
-74.752889,1600,591.441934
-66.198166,1600,616.242088
-63.846251,1600,638.98612
-61.754154,1600,663.922191
-145.623295,921,674.219697
-110.016167,133,676.38593
-112.957762,127,677.862775
-120.779397,184,679.816505
-115.796652,125,681.294257
-115.380619,155,683.500146
-71.753288,1600,708.705603
-2.693316,1600,733.639981
-70.778501,1600,758.470067
-59.99706,1600,783.441812
-55.128676,1600,808.572456
-30.308285,1600,833.687774
-69.506375,1600,858.681131
-70.56169,1600,878.665779
-114.687662,128,880.110968
-112.874351,84,880.851965
-50.865714,1600,911.610153
-108.090366,89,913.053391
-72.542719,1600,938.141473
-27.938673,1600,962.957649
-43.677602,1600,988.247667
-24.247007,1600,1013.549813
-35.50291,1600,1037.392384
-40.611191,1600,1062.531987
-104.327739,166,1064.061114
-47.889932,1600,1083.243737
-79.667198,1600,1108.760831
-52.867631,1600,1133.051552
0.705093,1600,1157.838582
-43.948516,1600,1182.855273
-40.577257,1600,1214.814152
-46.350937,1600,1239.529121
8.757825,1600,1265.070671
-60.927831,1548,1288.599738
-43.816295,1600,1314.11581
67.219807,1600,1339.630201
-119.417913,106,1341.101282
61.886512,1600,1366.585219
92.291979,1600,1391.452224
119.79505,1600,1413.356515
-45.973691,1600,1435.904473
-41.735237,1600,1456.363969
-46.505657,1600,1481.642478
152.879725,1600,1506.925804
143.850332,1600,1531.882356
138.633205,1600,1557.184177
166.039127,1600,1588.468209
150.050489,1600,1613.340213
136.278245,1600,1638.23083
162.731085,1600,1663.393114
184.999821,1600,1688.439695
177.84477,1600,1712.964581
184.967661,1600,1738.105066
192.647153,1600,1762.045962
159.500295,1600,1781.303612
196.542574,1600,1800.591709
-106.143767,63,1801.340751
202.737626,1600,1826.850707
214.073249,1600,1851.449483
216.254582,1600,1875.898318
214.437846,1600,1900.501819
222.853803,1600,1931.635956
206.252415,1600,1957.16843
240.802377,1600,1982.654894
257.460544,1600,2007.201502
241.717389,1600,2032.529248
110.177758,1413,2053.082692
-94.104182,140,2054.625903
-93.612625,223,2057.642602
-106.391388,219,2059.952277
-79.913837,188,2062.279553
-87.337516,169,2064.576753
-85.233661,203,2066.898454
-96.748953,146,2069.90649
-87.975638,194,2072.196311
-79.232103,242,2075.269703
-103.443336,121,2076.812825
-4.502713,770,2086.084356
215.890065,1600,2117.835676
231.120044,1600,2143.54229
256.033445,1600,2168.607675
265.035117,1558,2193.687099
260.109511,1600,2219.478226
266.445372,1565,2244.843087
268.239601,1578,2268.781802
268.18455,1596,2294.028711
78.892154,1096,2309.507955
-81.108634,230,2312.524621
271.694943,1505,2336.071922
270.792948,1425,2359.611057
272.417055,1397,2382.098256
271.357861,1437,2404.805139
272.658095,1477,2428.337346
271.87042,1470,2451.929631
271.089977,1497,2475.133555
274.252297,1390,2497.557122
275.420773,1396,2514.202973
277.247774,1352,2535.890811
277.287999,1396,2558.097891
278.563157,1353,2579.373712
276.367711,1336,2601.173101
274.35158,1404,2623.725697
279.333191,1321,2645.162249
275.003526,1322,2665.858394
278.32106,1251,2686.427622
277.221066,1310,2706.923843
277.082188,1322,2722.834724
275.965799,1309,2743.238653
277.52149,1311,2764.518374
282.252823,1231,2783.806723
286.044464,1200,2802.939657
284.559045,1197,2821.510164
282.031289,1242,2836.654713
284.422536,1252,2855.936076
285.326909,1195,2874.923665
281.351717,1250,2894.719663
282.027264,1261,2913.720166
272.737186,1367,2932.791618
272.812165,1349,2953.62079
-95.582072,125,2955.106646
269.077838,1441,2977.31128
274.929823,1350,2993.234528
285.20072,1197,3012.509339
283.860698,1249,3032.133663
286.95188,1255,3051.222771
287.795229,1231,3070.224946
283.14034,1259,3088.343689
283.156631,1276,3103.512011
-22.262049,399,3111.89022
288.169624,1155,3125.554666
289.596959,1177,3144.384516
82.260334,822,3159.052322
289.86646,1168,3176.946241
288.287954,1195,3190.651355
287.904691,1176,3209.517246
278.934424,1248,3228.485397
288.975701,1141,3246.502769
295.022997,1072,3259.3371
288.63681,1185,3277.052731
293.242574,1133,3295.07645
291.853081,1141,3313.317044
290.017913,1151,3331.338853
296.308655,1092,3344.153403
296.703328,1098,3361.44855
297.952739,1073,3378.602136
297.410477,1049,3390.68342
295.833348,1065,3407.732979
298.514556,1030,3424.221453
290.985272,1105,3441.368671
294.278807,1097,3454.212198
297.039575,1077,3471.1198
299.025258,1028,3487.56226
299.314882,1061,3500.360309
300.072002,1064,3517.324077
297.961906,1111,3534.718723
298.380087,1070,3551.65819
300.509002,1034,3563.816823
300.54141,1041,3580.270375
300.20299,1043,3596.635485
299.035139,1042,3609.533624
-8.331899,364,3617.683964
60.99995,603,3625.267608
302.509162,1015,3641.638363
295.674477,1134,3654.589796
302.441223,976,3670.764044
301.212598,1047,3687.156983
300.822681,989,3698.567304
298.067643,1041,3714.745208
302.994355,975,3729.781518
303.396931,936,3741.167017
304.022907,957,3755.415356
300.58384,973,3771.025215
297.058433,1021,3783.189848
298.605619,985,3798.256269
