#{"t_start": 1707367784.1773243, "env_id": "BipedalWalker-v3"}
r,l,t
-123.073754,91,0.206775
-73.352597,1600,1.047655
-102.168383,92,1.084459
-113.605569,70,1.111705
-103.308617,73,1.141903
-113.216955,87,1.176788
-121.755351,134,1.229187
-80.97881,1600,2.061911
-102.304938,48,2.082796
-95.135924,1600,2.927677
-118.127577,84,2.961943
-98.655377,80,2.994563
-75.997065,1600,3.816459
-74.001946,1600,4.633217
-103.740741,69,4.661932
-102.760342,120,4.709865
-206.330572,1593,11.738843
-134.226948,345,15.931015
-116.070464,196,18.055078
-117.779981,72,18.769773
-113.972394,63,19.477104
-127.395318,93,20.211468
-109.21543,69,20.921062
-108.095494,53,21.617674
-124.665271,105,23.008038
-152.506739,241,25.812025
-198.774185,1039,39.852487
-129.12276,179,41.959575
-133.1585,1600,66.04022
-197.740055,1177,79.079653
-102.768395,230,81.885451
-103.527278,1600,102.856189
-76.176594,1600,121.151358
-69.727512,1600,145.461585
-206.447785,1496,168.152006
-72.782163,1600,188.639951
-79.053141,1600,212.644276
-81.69418,1600,243.284405
-79.378187,1600,263.856581
-120.452728,67,264.566195
-96.662101,1600,287.522431
-109.591848,1600,310.667529
-112.462354,118,312.073684
-202.883188,1540,335.581981
-182.751493,1503,358.282642
-75.425047,1600,376.236091
-84.448822,1600,400.289982
-116.741914,256,403.114352
-85.943535,1600,421.244288
-134.773114,105,422.639607
-97.344208,1600,443.8626
-82.301267,1600,471.338212
-100.148446,1600,498.94122
-113.160951,1600,526.624304
-89.557373,1600,550.538577
-99.562013,1600,577.874811
-98.370863,1600,605.281925
-112.788879,1600,632.738134
-116.513309,1600,660.238619
-92.941531,1600,687.688187
-160.576358,862,704.975571
-83.773894,1600,728.153668
-80.621518,1600,755.641879
-81.788732,1600,783.355649
-81.969193,1600,810.654222
-79.427583,1600,838.01433
-81.208489,1600,865.3859
-110.193697,1600,887.584005
-97.677796,1600,914.974376
-84.117381,1600,942.350665
-70.581964,1600,969.787543
-84.49112,1600,997.117389
-88.981114,1600,1024.670027
-85.390081,1600,1052.381769
-68.728496,1600,1086.724254
-112.391245,1600,1109.48123
-103.039499,1600,1137.139054
-108.314266,1600,1164.154666
-80.187918,1600,1188.460443
-112.308145,1600,1212.834302
-78.599959,1600,1237.261997
-72.220378,1600,1263.601431
-71.709826,1600,1291.766411
-75.893687,1600,1320.11713
-84.12836,1600,1348.438133
-88.884024,1600,1376.725426
-115.132112,79,1378.417874
-121.134006,89,1379.317379
-123.562555,148,1381.082467
-122.083648,72,1389.324465
-96.712471,1600,1417.507874
-95.199653,1600,1445.818615
-65.418016,1600,1474.114956
-76.450848,1600,1502.762221
-89.932995,1600,1531.339888
-88.519845,1600,1560.022641
-88.295572,1600,1588.677206
-88.335191,1600,1617.319974
-99.243111,1600,1645.942966
-105.52698,1600,1674.547975
-89.696522,1600,1702.947235
-98.128359,1600,1731.481657
-88.913877,1600,1760.129926
-88.150912,1600,1788.868056
-85.644635,1600,1817.824655
-85.107793,1600,1846.292054
-77.272294,1600,1874.997527
-148.720211,571,1882.122509
-91.874354,1600,1910.714153
-82.801147,1600,1939.495502
-77.719332,1600,1968.085566
-77.111176,1600,1996.897968
-87.705695,1600,2025.522662
-92.15893,1600,2054.107489
-86.830244,1600,2089.136994
-108.196138,311,2093.566579
-100.148086,1600,2122.194724
-105.211586,1600,2150.94349
-98.568712,1600,2179.773077
-88.19991,1600,2208.433129
-89.422387,1600,2237.215661
-92.750221,1600,2266.084734
-81.529072,1600,2294.711307
-81.255625,1600,2323.463337
-92.35837,1600,2352.340633
-114.535191,1600,2381.104269
-105.885486,1600,2409.712264
-99.021651,1600,2445.023747
-106.472826,1600,2473.832603
-98.631788,1600,2502.656423
-102.075606,1600,2531.33106
-102.236438,1600,2560.29623
-93.604572,1600,2589.00133
-89.609336,1600,2617.871522
-64.481077,1600,2646.638896
-83.326128,1600,2675.485695
-90.294383,1600,2704.44669
-85.158169,1600,2733.436358
-92.61111,1600,2762.463558
-83.587692,1600,2791.304917
-91.610449,1600,2820.370066
-82.413151,1600,2849.12486
-73.44591,1600,2884.689832
-74.467036,1600,2913.426661
-78.778427,1600,2942.404444
-64.583646,1600,2971.250587
-61.892361,1600,3000.141292
-67.575197,1600,3028.989497
-76.3174,1600,3057.724
-84.018051,1600,3086.490909
-77.620816,1600,3115.264587
-57.280884,1600,3144.024465
-56.018147,1600,3172.83933
-95.236165,1600,3201.68822
-93.832207,1600,3230.534378
-29.743318,1600,3258.030292
-50.181002,1600,3286.883075
-131.945263,153,3296.04438
-96.038904,1600,3324.64606
-85.909053,1600,3350.077099
-66.662982,1600,3375.626448
-55.415115,1600,3401.062183
-47.555821,1600,3426.495998
-39.476694,1600,3452.079805
-43.488704,1600,3477.533112
-52.101627,1600,3502.920749
-74.307354,1600,3528.349979
-51.0947,1600,3553.7137
-51.138179,1600,3579.345095
-55.406317,1600,3604.766364
-52.867865,1600,3630.178889
-61.361424,1600,3655.61273
-52.959313,1600,3687.564828
-60.230294,1600,3712.991588
-24.266266,1600,3738.552004
-39.892431,1600,3764.222304
-7.752369,1600,3789.686464
-19.90575,1600,3815.156415
-43.76236,1600,3840.586932
-53.215139,1600,3866.064452
-59.334609,1600,3891.564257
-45.928084,1600,3917.020027
-69.945563,1600,3942.421102
-72.791657,1600,3961.793459
-62.984361,1600,3987.42371
-56.021931,1600,4015.84465
-52.506993,1600,4044.898567
-44.961753,1600,4080.33623
-58.186035,1600,4109.412723
-79.111388,1600,4138.495992
-39.709194,1600,4167.614792
-50.393289,1600,4196.575787
