#{"t_start": 1707878844.1933017, "env_id": "BipedalWalker-v3"}
r,l,t
-101.484948,69,0.482316
-98.9398,91,0.521852
-76.811152,1600,1.102821
-86.985576,1600,1.627328
-109.559792,72,1.652984
-103.987822,89,1.682658
-82.671399,1600,2.210247
-104.72799,66,2.233406
-112.554071,58,2.254162
-118.802083,92,2.286132
-86.187792,1600,2.812273
-79.562633,1600,3.333712
-110.740834,60,3.355044
-113.595037,82,3.384243
-113.294311,70,3.408796
-98.725832,70,3.433635
-104.556096,55,3.45296
-103.364405,105,3.487417
-107.902635,36,3.501479
-101.656525,61,3.522872
-98.923098,90,3.554111
-111.380245,55,3.574364
-100.342255,95,3.606195
-102.069215,109,3.643476
-111.958056,62,3.665861
-100.625525,63,3.688193
-83.678319,1600,20.514063
-107.628817,55,21.337422
-114.740313,59,21.3816
-186.740876,1514,41.147953
-102.686897,82,41.988556
-101.590682,82,43.607942
-101.632257,87,44.450499
-103.484573,67,45.278147
-105.008197,68,46.106522
-99.237122,98,47.731195
-107.587673,56,48.5509
-98.456588,82,49.391225
-99.456299,72,50.222482
-101.70167,92,51.068281
-99.357435,73,52.67872
-109.878192,174,54.363072
-165.941127,964,66.737698
-112.980837,117,68.37535
-114.070788,99,70.00233
-114.974939,149,71.667171
-145.156259,344,75.799428
-115.68758,128,77.44289
-104.45541,171,79.902125
-131.381549,123,81.548794
-117.024887,93,82.396605
-98.294161,107,84.02766
-133.540991,174,86.482621
-127.64584,117,88.122622
-98.391516,1600,108.561667
-76.583511,1600,129.025778
-58.852769,1600,154.919336
-67.3496,1600,175.4684
-55.033411,1600,195.883391
-71.600938,1600,216.280569
-51.033923,1600,236.663458
-49.022793,1600,257.143795
-48.992979,1600,277.521264
-167.455466,1318,293.831548
-43.261346,1600,314.188467
-50.177124,1600,334.534018
-43.21557,1600,354.840861
-34.499864,1600,375.294376
-126.607527,151,377.716087
-92.156747,1600,402.955041
-152.622226,574,410.318232
-137.357013,287,413.617981
-103.414743,61,414.441703
-101.292321,73,415.269739
-112.500191,1600,435.758102
-52.905894,1600,456.152596
-41.573606,1600,476.535701
-120.645021,742,486.288163
-42.33456,1600,506.671203
-67.241678,1600,527.057786
-72.894467,1600,547.480952
-107.212801,47,548.284931
-104.367225,62,548.331877
-111.116227,75,549.922267
-101.456354,71,550.744022
-108.036526,54,551.553876
-104.219345,93,552.392601
-113.761847,92,553.99733
-127.908387,125,554.855371
-127.610894,172,557.283385
-106.665157,204,559.732853
-124.802486,273,563.781163
-160.227134,774,573.540463
-55.54198,1600,593.931003
-69.745991,1600,614.301356
-68.413824,1600,634.642622
-100.671002,108,635.490456
-46.454115,1600,660.921753
-35.641613,1600,681.457312
-39.091776,1600,701.857767
-68.595942,1600,722.464448
-73.111213,1600,742.875489
-72.452442,1600,763.256772
-112.315694,40,764.056908
-112.057993,40,764.859778
-114.100741,55,764.901739
-112.818473,43,765.702619
-119.469217,215,768.934451
-130.914833,154,770.583977
-126.65698,137,772.234834
-116.209202,461,777.958629
-135.417848,236,781.230392
-119.952686,121,782.86049
-141.250871,406,787.772607
-61.561602,1600,808.207282
-105.554834,1600,828.61298
-93.047949,1600,849.160177
-122.591726,64,849.98359
-53.824804,1600,870.558812
-40.749685,1600,891.159988
-20.125128,1600,911.732895
-26.383513,1600,937.960423
-38.959651,1600,959.078343
-38.773122,1600,980.265415
-42.004296,1600,1001.414
-57.854125,1600,1022.620055
-55.969342,1600,1043.887983
-125.635799,188,1046.416814
-50.652047,1600,1067.512958
-51.605765,1600,1088.633685
-52.437621,1600,1109.81235
-48.001963,1600,1131.054998
-31.834728,1600,1152.288452
-43.212854,1600,1173.181337
-39.016279,1600,1199.617157
-52.852954,1600,1220.944156
-33.356626,1600,1242.245997
-28.690106,1600,1263.598271
-119.52314,78,1264.471215
-115.054478,58,1265.326382
-23.64502,1600,1286.732829
-30.949315,1600,1308.109049
-47.417578,1600,1329.54983
-42.765673,1600,1351.008438
-60.382577,1600,1372.443027
-63.169608,1600,1393.868227
-54.969773,1600,1415.359082
-109.458843,129,1417.078933
-110.853034,173,1419.644788
-23.689559,1600,1440.820984
-30.356886,1600,1467.628424
-35.858713,1600,1489.054609
-32.809811,1600,1510.559922
-25.474288,1600,1531.994201
-25.40327,1600,1553.439167
-31.093367,1600,1574.977253
-24.848681,1600,1596.506799
-28.117779,1600,1618.018109
-23.359489,1600,1639.534648
-34.062228,1600,1661.041204
-21.938651,1600,1682.508812
-26.223626,1600,1703.75777
-7.7256,1600,1725.385476
-20.901687,1600,1752.274326
-14.241737,1600,1773.961124
-33.153353,1600,1795.515772
-108.394793,91,1796.402777
-9.177728,1600,1818.028707
-15.110506,1600,1839.675936
-1.230208,1600,1861.351986
-4.353574,1600,1882.993857
