#{"t_start": 1727593556.710949, "env_id": "BipedalWalker-v3"}
r,l,t
-99.300975,92,0.053334
-100.974468,67,0.081855
-79.720875,1600,0.666476
-115.835988,129,0.716556
-92.755274,1600,1.306249
-99.825203,81,1.33901
-79.916344,1600,1.984376
-104.412931,71,2.010684
-106.328415,54,2.032037
-108.494532,58,2.05452
-102.388332,65,2.079862
-116.748313,121,2.129106
-82.091333,1600,2.714603
-79.231064,1600,3.321726
-99.777952,86,3.354326
-102.63257,71,3.382764
-108.810683,38,3.398917
-101.357157,87,3.431234
-99.24246,64,3.456539
-112.67599,44,3.474305
-97.524016,73,3.502417
-98.975098,98,3.539717
-102.995657,53,3.560985
-105.615571,60,3.584619
-99.039185,112,3.626053
-100.79717,83,3.661617
-108.853551,52,3.683081
-101.940884,1600,22.690749
-109.24228,58,23.449291
-56.12099,1600,45.404502
-95.104533,1600,66.422442
-86.679277,1600,87.523544
-52.853971,1600,108.587296
-102.229058,134,110.364787
-102.329038,128,112.041655
-103.964158,102,113.38081
-102.959072,106,114.770627
-107.998398,51,115.436958
-103.81651,67,116.319877
-57.773898,1600,137.764601
-146.376467,535,147.309344
-31.618911,1600,168.886193
-18.76501,1600,190.273131
-26.46921,1600,211.825915
-30.297913,1600,233.752928
-30.892087,1600,256.209394
