#{"t_start": 1707344588.0864232, "env_id": "BipedalWalker-v3"}
r,l,t
-83.352451,1600,1.028086
-100.259652,73,1.061261
-116.700649,78,1.094412
-92.186772,1600,1.726073
-101.890562,100,1.767776
-101.011971,1600,2.399675
-78.576327,1600,3.035848
-113.689507,57,3.06085
-113.503877,67,3.088828
-108.296578,48,3.11062
-112.743739,48,3.132694
-117.652578,71,3.162551
-99.491715,126,3.215177
-100.772134,74,3.246408
-101.106839,53,3.269952
-100.597213,79,3.30393
-102.152501,85,3.338736
-123.593901,120,3.388554
-121.438777,107,3.432035
-89.43426,1600,4.065985
-100.063141,75,4.099366
-80.487362,1600,16.962922
-114.520044,65,17.817424
-161.900683,859,29.927223
-104.164244,63,30.783071
-105.884151,63,31.643539
-122.574853,94,32.520534
-106.960021,1600,53.910419
-94.829949,177,56.48878
-93.972389,175,59.069186
-119.263647,78,59.940052
-104.142506,63,60.798263
-67.785775,1600,82.229654
-118.796624,59,83.084813
-117.093829,51,83.123833
-119.369473,54,83.978343
-112.687686,63,84.837826
-126.15043,137,86.598038
-82.925294,1600,107.733041
-73.204564,1600,128.781039
-53.729275,1600,154.542708
-142.262597,304,158.799445
-74.221556,1600,179.952816
-45.50522,1600,200.813535
-46.612061,1600,221.67033
-61.245736,1600,242.752524
-200.355208,1485,261.961829
-54.392193,1600,282.80685
-119.247241,93,284.44235
-93.676565,1600,305.386174
-86.33779,1600,326.161216
-54.208969,1600,347.090523
-58.813336,1600,367.909049
-59.760619,1600,388.79072
-56.925447,1600,413.805423
-108.175755,73,414.641403
-103.866163,73,415.474915
-120.974912,1600,436.287422
-131.199442,116,437.941672
-127.247653,155,439.616717
-109.289263,1600,460.366282
-116.336272,94,461.997356
-63.351411,1600,482.798247
-95.156979,1600,503.552227
-80.407224,1600,524.247505
-83.404484,1600,545.055032
-80.870824,1600,565.870132
-106.67158,1600,586.615906
-162.294394,846,597.447574
-110.556361,61,598.271235
-108.261363,59,599.097246
-105.736662,98,599.944336
-117.311833,57,600.770941
-102.782385,69,601.601258
-113.51263,88,603.235632
-118.540902,62,604.0579
-103.251674,75,604.890831
-104.537343,72,605.718321
-133.60842,140,607.371438
-128.430522,92,609.000987
-152.01667,1057,622.205428
-112.706185,35,623.016165
-123.999868,108,623.872583
-84.411301,1600,644.617417
-194.684881,887,656.225824
-73.815044,1600,681.820039
-109.584355,72,682.654743
-111.108925,125,684.315253
-99.168366,138,686.766574
-69.508201,1600,707.505003
-55.073692,1600,728.248644
-175.016177,1390,745.675445
-107.74317,103,747.30646
-104.969256,259,750.610383
-46.0886,1600,771.425966
-36.995742,1600,792.197834
-58.382232,1600,813.055005
-85.445547,299,817.201449
-66.91297,1600,838.062406
-41.644458,1600,859.167877
-62.146697,1600,880.274766
-53.214199,1600,901.563722
-96.881037,160,903.320703
-62.2106,754,913.553744
-25.072264,1600,935.053499
-6.363668,1600,962.108027
-41.234358,1600,983.827711
-47.754576,1600,1005.619608
22.089427,1600,1027.409798
36.683131,1600,1049.247257
51.814211,1600,1071.025383
-92.586667,271,1074.539912
-85.721183,176,1077.14972
-82.263071,238,1080.616529
-75.145375,334,1084.986157
-64.358248,294,1088.532587
-91.949004,172,1091.177604
-93.316244,145,1092.9578
-97.378929,108,1094.694205
-87.90635,253,1098.188743
-84.266522,578,1106.044141
-86.508178,177,1108.648564
-92.379898,186,1111.271987
-99.744939,144,1113.037339
-105.101141,129,1114.798677
-95.813408,169,1117.402005
-84.584094,280,1120.92583
-77.572309,239,1124.408278
-64.657316,413,1129.671661
-84.390044,523,1136.792503
-101.27455,183,1139.455298
-27.364799,1600,1161.348624
83.674094,1600,1183.271208
161.524817,1600,1205.2648
174.490738,1600,1232.739988
208.068305,1600,1254.701342
67.566083,1462,1274.976242
-6.007138,637,1283.782886
229.439027,1600,1305.955827
256.733691,1600,1328.133196
91.434124,1114,1343.140398
259.656696,1583,1365.339846
138.079211,1520,1386.7524
-79.696297,218,1389.431692
-63.428043,358,1394.757564
-26.758126,482,1400.97114
1.414092,781,1412.448522
96.443408,1143,1427.601785
270.036896,1317,1446.192776
-94.746175,136,1447.970931
56.013487,876,1460.479037
-59.073855,348,1464.982575
-60.719827,264,1468.546628
1.922509,638,1477.458411
-20.361706,580,1485.46589
-50.88923,325,1490.739094
-14.207945,515,1502.286373
26.456374,733,1512.066594
261.564069,1459,1532.531788
137.483259,1273,1550.313518
120.456661,1139,1566.33322
-33.551911,475,1572.595263
-54.738216,318,1577.045731
-86.845573,235,1580.594269
140.721907,1518,1601.128623
262.757784,1433,1621.628811
263.780673,1428,1641.345914
273.207883,1338,1660.050398
278.845008,1304,1677.958259
57.47955,881,1690.441013
274.709076,1320,1709.221608
6.102081,577,1717.259159
-7.221753,545,1724.431542
273.998993,1346,1743.125881
279.257801,1242,1760.981417
93.385242,878,1772.604448
27.469777,608,1785.099316
280.17966,1276,1802.973119
279.833787,1318,1820.909852
-77.072695,148,1823.558132
-33.39199,364,1828.059192
-56.208131,265,1832.538791
-76.87165,194,1835.228438
-71.697422,228,1837.939622
-28.463155,522,1845.098107
82.82095,1430,1865.636975
-61.492031,377,1870.993564
260.243722,1537,1892.385721
73.911825,929,1904.894078
-104.768237,97,1906.658954
-105.760537,86,1907.574155
260.99952,1600,1929.959254
272.369125,1396,1949.633629
274.507587,1333,1968.4076
-108.813398,116,1969.338575
-83.271025,205,1972.870564
-110.894744,107,1973.802374
-105.054522,113,1975.576288
-105.537063,156,1977.388653
-103.662866,82,1979.153823
-110.290538,109,1980.088078
-103.476794,128,1981.875786
151.868998,1600,2004.251768
-81.742617,1600,2026.645896
-100.307443,82,2028.396558
51.553684,731,2038.25803
-97.893427,147,2040.055459
-102.576743,119,2041.836374
-13.88397,484,2049.001479
239.846938,1600,2074.523372
-86.382415,142,2076.317757
31.522839,914,2088.843306
249.554629,1600,2111.168796
239.043671,1600,2133.468073
174.056572,1600,2155.810618
58.78347,1313,2174.570167
226.395419,1600,2196.885785
228.995749,1600,2219.160991
195.265569,1600,2241.525047
73.046495,1206,2258.536245
266.508372,1473,2279.151137
259.063643,1600,2301.598559
272.096768,1347,2320.396274
270.304484,1399,2340.094115
270.011299,1405,2363.033143
269.586714,1421,2382.762643
272.601067,1364,2401.593655
268.97088,1489,2422.211674
265.974388,1505,2443.695036
267.155289,1495,2464.337576
273.203671,1442,2484.9325
269.145952,1413,2504.654732
33.217772,682,2514.538368
269.99502,1367,2533.333258
264.772857,1577,2555.723127
265.687228,1496,2576.362905
266.57065,1535,2597.819274
270.784692,1377,2616.648794
-21.323704,478,2623.781157
274.149888,1289,2644.643037
271.502102,1347,2663.443553
271.690502,1351,2682.26564
274.80102,1260,2700.153793
276.457033,1268,2718.036545
-29.879764,410,2723.455406
275.766263,1223,2740.498608
-90.259761,174,2743.174932
269.514983,1323,2761.984239
276.465615,1233,2779.022773
91.981106,912,2791.645756
-112.444088,46,2792.542295
-113.521304,47,2793.434874
-110.880968,46,2793.47202
-114.838356,47,2794.362792
-113.917766,50,2795.257961
-112.795306,52,2796.151313
-113.495921,47,2796.189481
-115.366911,67,2797.09118
-106.88229,39,2797.969902
-106.309249,40,2798.851151
-115.184882,45,2798.888312
-108.083176,43,2799.803217
-113.19575,58,2800.697474
-117.224713,67,2801.59622
-108.793917,36,2801.625899
-108.769686,38,2802.505224
-114.506187,44,2803.396086
-106.886165,35,2803.425403
-107.567349,37,2804.304997
-115.004278,87,2805.217808
-123.458107,106,2806.997708
-114.522003,42,2807.885064
-116.225271,47,2807.923311
272.859016,1308,2826.732183
-81.769282,209,2829.424368
-38.752314,354,2834.806922
276.881867,1310,2852.712329
-41.678757,369,2858.061725
-94.489285,147,2859.873264
277.973776,1249,2877.688164
-68.846492,237,2880.400413
277.226506,1263,2898.232662
276.654208,1268,2920.001131
274.42472,1360,2938.770561
84.547337,936,2952.179019
280.922936,1248,2969.170731
281.007009,1197,2986.130482
281.407653,1195,3003.101195
280.953219,1250,3020.129473
-94.887877,105,3021.900181
276.148477,1257,3038.909832
-40.08789,356,3044.268285
283.125638,1196,3061.234061
96.766872,917,3073.72582
280.751517,1189,3090.725574
2.343372,482,3096.986432
-29.521144,414,3103.205294
120.561323,1018,3116.654279
-0.778094,583,3125.575787
27.349938,632,3133.658087
54.723885,696,3143.503636
-78.15302,1600,3166.000998
-67.424878,1600,3188.519309
-74.725302,1600,3216.318836
-125.178147,113,3218.103797
-63.721783,1600,3240.529256
-28.343278,1600,3262.890791
29.259477,1600,3285.268111
15.805735,1600,3307.68579
129.449563,1162,3323.76506
278.382488,1260,3341.640687
274.81185,1302,3359.533513
274.865583,1285,3377.454681
276.821281,1301,3396.205823
280.103246,1279,3414.09976
277.804922,1304,3432.043289
-32.608077,374,3437.383916
282.075202,1248,3454.447648
280.375619,1256,3472.547261
276.516387,1245,3492.190826
281.293528,1251,3510.050467
280.03463,1233,3527.053966
280.702957,1194,3544.062402
281.53255,1213,3561.113871
153.599593,1126,3576.366055
281.307245,1274,3594.208976
280.894144,1251,3612.066538
63.644562,756,3622.79531
280.076577,1269,3640.674385
-42.932992,349,3645.161496
284.684949,1234,3662.132952
281.946375,1255,3680.019531
278.057127,1279,3697.907716
281.613277,1264,3715.800912
284.07014,1220,3732.809406
282.616107,1224,3749.798332
281.624469,1232,3770.373719
34.585398,682,3780.176781
-86.464874,140,3781.970919
-103.053547,93,3782.884596
-107.285708,54,3783.77693
-57.056307,1600,3806.200503
-55.581977,318,3810.679517
-81.391393,173,3813.353526
-69.541505,245,3816.907931
