#{"t_start": 1708492070.138143, "env_id": "BipedalWalker-v3"}
r,l,t
-100.158485,72,0.28057
-113.219054,59,0.327229
-81.377415,1600,0.987269
-99.079185,74,1.023027
-103.517496,68,1.063231
-113.586736,73,1.121365
-99.394493,65,1.177545
-82.323564,1600,2.385513
-80.231049,1600,3.553938
-82.198732,1600,4.531085
-109.822584,42,4.556157
-111.81008,59,4.587207
-119.878735,105,4.639264
-105.248196,66,4.671431
-101.424896,98,4.718575
-101.377958,1600,5.394294
-105.722492,103,5.437618
-82.179644,1600,12.074935
-83.320184,1600,31.65031
-130.617383,148,33.543944
-113.596811,84,34.602663
-116.901317,52,35.273707
-118.097751,55,35.97844
-119.114319,56,36.693961
-111.900417,90,37.856699
-113.25216,65,38.627975
-106.291621,54,39.276102
-118.901383,92,40.376725
