Dataset,DTSemNet,DGT,TAO,CART
Protein,68.60,67.80,68.41,57.53
SatImages,87.55,86.64,87.41,84.18
Segment,96.10,95.86,95.01,94.23
Pendigits,97.02,96.36,96.08,89.94
Connect4,82.03,79.52,81.21,74.03
MNIST,96.16,94.00,95.05,85.59
SensIT,84.29,83.67,82.52,78.31
Letter,89.19,86.13,87.41,70.13
Balance Scale,90.2,88.6,77.4,74.9
Banknote Auth,99.8,99.8,96.6,93.6
Blood Transfusion,78.5,78.3,76.9,77.1
Acute Inflam. 1,100,100,99.7,100
Acute Inflam. 2,100,100,99.0,99.0
Car Evaluation,93.3,92.1,84.5,84.3
Breast Cancer,97.2,97.2,94.7,94.7
Avila Bible,62.2,59.7,55.8,54.0
Wine Quality Red,58.6,56.6,56.9,55.9
Wine Quality White,53.5,52.1,52.3,52.0
Dry Bean,91.4,89.0,83.2,80.5
Climate Crashes,92.9,92.4,90.6,91.8
Conn. Sonar,82.1,80.8,70.9,70.6
Optical Recognition,93.3,91.9,64.6,53.2
